集計年,都道府県コード,都道府県名,男女区分,0～4歳（人）,5～9歳（人）,10～14歳（人）,15～19歳（人）,20～24歳（人）,25～29歳（人）,30～34歳（人）,35～39歳（人）,40～44歳（人）,45～49歳（人）,50～54歳（人）,55～59歳（人）,60～64歳（人）,65～69歳（人）,70～74歳（人）,75～79歳（人）,80～84歳（人）,85～89歳（人）,90歳以上（人）
1980,01,北海道,男,208437,238711,217367,209528,185415,223093,252957,204233,196248,198635,174360,126069,97925,81875,59491,36898,17393,5699,1347
1980,01,北海道,女,199061,226566,208182,200572,191405,236955,267680,220272,205548,196417,173230,146934,116332,94160,69525,46893,25470,9760,3216
1985,01,北海道,男,180019,207356,236038,209552,183074,181763,221540,247804,198446,189084,190166,165329,117754,88156,69628,45579,23514,8442,2276
1985,01,北海道,女,172054,197870,224622,202927,193113,190969,233895,264128,216223,201648,192295,168864,142155,110636,86549,60022,35010,15132,4543
1990,01,北海道,男,149665,176765,202723,226108,176755,169103,175788,214554,238040,189040,179254,179827,155306,107647,76346,54756,30103,11983,3411
1990,01,北海道,女,142155,169061,193882,217259,188179,186103,185469,228295,257383,210332,196271,187608,164043,135849,102492,75760,46724,22001,7809
1995,01,北海道,男,132618,150901,176055,201737,207782,172479,173236,177080,214022,235671,185470,174462,172580,143846,94498,61266,37741,16322,5321
1995,01,北海道,女,127409,143128,168562,192872,207695,187044,186623,185279,227108,255139,207946,194325,184318,159060,128538,92041,61303,31719,13272
2000,01,北海道,男,121481,132985,150621,175008,179696,195963,172198,172185,174914,209920,229636,179583,168237,160468,127800,78377,44180,21951,8383
2000,01,北海道,女,116783,127736,142746,166835,178355,202207,185954,185198,184038,224150,251746,205482,191597,178820,151034,117220,76913,44216,22190
2005,01,北海道,男,111822,121854,132224,150573,158218,168952,195273,171427,170005,171569,205633,223497,174734,159007,144788,107490,58697,27031,11916
2005,01,北海道,女,108436,116573,126961,140937,153485,172624,200702,184519,183529,181957,222126,249371,203425,187072,171122,140295,102150,59325,34708
2010,01,北海道,男,102766,111287,121300,132356,133097,142807,166953,194191,170760,168184,168649,200857,217737,164977,144832,123747,81736,36762,15087
2010,01,北海道,女,98211,107893,115855,126174,131088,146870,171110,199320,183458,181608,180522,219830,246598,198622,179519,160068,124901,79972,47845
2015,01,北海道,男,92947,101243,110291,121227,125490,126007,141183,165145,192010,168655,165010,163961,193025,205682,151524,125883,97290,54120,22451
2015,01,北海道,女,88172,97027,106798,115613,121709,126742,144459,168653,196799,180953,179467,178018,216024,241171,191812,169360,144531,101377,69467
2020,01,北海道,男,79674,91799,100471,110126,117673,121823,125115,139673,163010,189242,165331,160333,157541,181966,189475,132524,100134,65729,34538
2020,01,北海道,女,75597,87267,96216,106558,114246,119958,125402,142708,166669,194376,178850,176949,174910,210947,233067,181250,153265,118576,95065
2025,01,北海道,男,70713,78789,91204,100518,107196,114702,121127,123997,138045,160761,185652,161010,154633,149113,167889,167513,106937,69167,45910
2025,01,北海道,女,67096,74888,86653,96230,105567,112902,118949,124148,141253,164727,192258,176599,174172,171158,204000,221321,165325,127476,120386
2030,01,北海道,男,65465,69973,78319,91429,98159,104841,114129,120075,122627,136275,157835,180963,155835,146895,138304,148751,137459,75308,53276
2030,01,北海道,女,62110,66521,74411,86828,95739,104574,111994,117772,122977,139730,163013,189969,174135,170754,165964,193842,203510,139222,140117
2035,01,北海道,男,61085,64812,69578,78603,89477,96267,104387,113196,118767,121141,133925,153977,175338,148519,136883,123546,122427,99194,60804
2035,01,北海道,女,57945,61618,66110,74627,86581,95058,103804,110937,116679,121718,138374,161157,187499,171007,165927,158404,178361,174015,160295
2040,01,北海道,男,56257,60511,64482,69896,77013,87848,95926,103609,112032,117376,119128,130833,149393,167368,139003,123140,103022,88667,78795
2040,01,北海道,女,53369,57524,61270,66355,74513,86062,94401,102837,109960,115499,120586,136892,159173,184335,166555,158926,146819,152685,198013
1980,02,青森県,男,57449,65182,64564,59243,48056,58793,64790,50918,51189,53376,46876,33229,25678,23226,16621,9994,4452,1424,290
1980,02,青森県,女,54722,62869,61668,57649,51876,60936,65440,54810,55904,58158,50589,41829,33447,28654,22194,15251,8328,3190,892
1985,02,青森県,男,50740,57670,64759,56297,43594,48763,58340,63307,48960,48609,50613,44208,31485,23330,19731,12361,6159,2038,464
1985,02,青森県,女,48038,54795,62552,54997,46814,51827,60372,64814,53563,54412,56656,49135,40563,31834,26489,19056,10976,4759,1350
1990,02,青森県,男,41102,50223,56829,55680,38742,41638,46985,56148,60262,45981,45523,47256,41551,28835,20227,15249,7981,3060,739
1990,02,青森県,女,39266,47629,54033,54849,41071,45195,50430,59121,63058,51702,52610,55098,47904,39200,29823,23251,14577,6589,2245
1995,02,青森県,男,36776,42037,50125,51707,44932,40822,43910,47998,56383,59549,44740,43968,45652,38758,25340,15770,9919,3921,1142
1995,02,青森県,女,35419,40396,47661,49822,44267,43023,46084,50627,58525,62056,51005,51858,54383,46697,37054,26742,18508,9392,3502
2000,02,青森県,男,33727,37838,42110,46338,42560,45332,42977,45177,48425,56186,58701,43731,43210,43422,34316,20409,10749,5204,1683
2000,02,青森県,女,32455,36495,40516,44108,40451,45031,44296,46720,50376,57831,61229,50430,51552,53191,44570,33596,21798,12532,5629
2005,02,青森県,男,29485,34184,37601,38696,36075,39943,44672,42203,44251,46876,53949,56191,42439,40903,38808,28112,14586,6100,2434
2005,02,青森県,女,28477,32645,36324,37110,34785,39057,44725,43962,46040,49619,56790,60149,49862,50028,50805,41061,28675,15970,8651
2010,02,青森県,男,24618,29270,33697,34303,28329,33175,39124,43825,41593,43032,45375,51844,54288,39992,36738,32240,20233,8354,3079
2010,02,青森県,女,23843,28088,32326,33005,27876,32563,38575,44293,43506,45267,48652,55768,59194,48429,47956,47061,35471,21463,11752
2015,02,青森県,男,22086,24349,28916,31355,28710,27588,32739,38462,43161,40696,41924,43713,49516,51031,36216,30948,23742,12127,4619
2015,02,青森県,女,20955,23456,27788,30238,27707,26622,31978,37952,43666,42733,44464,47806,54772,57763,46665,44664,41020,26982,16381
2020,02,青森県,男,18705,21848,24076,27460,27881,28381,27313,32192,37788,42162,39569,40322,41625,46309,46279,30718,23221,14707,7092
2020,02,青森県,女,17746,20648,23229,26501,27046,27025,26289,31515,37437,42953,42003,43667,46855,53307,55627,43541,39253,31848,22040
2025,02,青森県,男,16466,18526,21628,22880,24441,27623,28134,26906,31668,36950,41059,38154,38572,39105,42124,39758,23442,14792,9442
2025,02,青森県,女,15620,17501,20464,22197,23718,26474,26744,25954,31119,36844,42251,41294,42883,45670,51366,52187,38574,31012,27889
2030,02,青森県,男,15034,16313,18342,20565,20402,24278,27389,27714,26492,30997,36016,39653,36649,36414,35778,36368,30978,15300,10694
2030,02,青森県,女,14266,15408,17348,19559,19904,23300,26194,26407,25650,30641,36261,41576,40618,41863,44099,48250,46672,30932,30795
2035,02,青森県,男,13835,14903,16151,17447,18344,20326,24086,26980,27293,25962,30251,34839,38202,34774,33507,31191,28566,20852,11791
2035,02,青森県,女,13127,14081,15276,16588,17531,19594,23060,25865,26101,25269,30168,35696,40940,39710,40521,41574,43238,38110,32975
2040,02,青森県,男,12662,13720,14762,15368,15568,18291,20178,23740,26572,26765,25375,29308,33613,36366,32187,29476,24870,19455,15514
2040,02,青森県,女,12017,12954,13958,14614,14874,17280,19407,22762,25563,25720,24894,29724,35174,40070,38523,38329,37483,35462,39430
1980,03,岩手県,男,52658,57897,56465,52299,40987,52649,57014,46459,48050,51393,49076,34835,27491,24404,17801,11414,5251,1799,431
1980,03,岩手県,女,50113,55236,53645,48810,41519,53221,55929,49751,53412,56777,52999,43947,35770,30080,22911,16025,8796,3497,991
1985,03,岩手県,男,46496,53055,57957,49177,37865,44532,53883,56722,45545,46634,49544,46969,33080,25221,20982,13600,7205,2596,677
1985,03,岩手県,女,44376,50700,55216,46788,38254,45184,53400,55784,49142,52629,55762,51773,42758,34126,27627,19732,11916,5125,1579
1990,03,岩手県,男,38845,46322,52678,50736,34784,39423,44584,53329,55402,43998,44862,47521,44559,30638,22052,16638,8947,3602,1056
1990,03,岩手県,女,37443,44254,50268,48483,35946,40206,44674,52744,55009,48110,51546,54599,50537,41179,31951,24354,15339,7384,2597
1995,03,岩手県,男,35237,40034,46803,47575,40513,37992,41778,45893,53899,55150,43191,43707,45921,41814,27210,17663,11364,4726,1469
1995,03,岩手県,女,33854,38354,44728,45402,39145,38672,41335,45349,52843,54485,47660,50985,53680,49146,39040,28797,19655,10218,4154
2000,03,岩手県,男,32488,36022,40335,42663,38915,43623,39902,42730,46367,53671,54528,42451,42674,43540,37324,22460,12553,6411,2220
2000,03,岩手県,女,30359,34531,38735,41182,37428,41609,39810,41927,45515,52408,53994,47278,50502,52406,46798,35634,23854,14007,6781
2005,03,岩手県,男,29036,32620,35933,36793,32660,38395,42732,39205,42040,45371,52469,52874,40983,40432,39277,31208,16500,7383,3273
2005,03,岩手県,女,27891,30460,34328,35369,31956,36807,40754,39161,41341,44830,51692,53353,46594,49127,50146,43415,30707,17869,10163
2010,03,岩手県,男,25518,28769,32325,32981,27378,32259,38026,42364,38810,41090,44248,50811,51193,38949,36775,33355,23112,9875,3974
2010,03,岩手県,女,24167,27763,30262,31656,27361,31619,36872,40703,39146,41024,44400,51086,52753,45573,47089,46755,37861,23318,13862
2015,03,岩手県,男,22888,25212,28370,29495,27914,27990,32272,37780,41693,38114,40211,42809,48515,48143,35190,31105,25385,14266,5631
2015,03,岩手県,女,21711,23862,27479,28124,26902,27093,31212,36331,40230,38431,40359,43542,49965,51235,43520,43600,41451,29388,18970
2020,03,岩手県,男,19797,22616,24994,26950,26153,28354,27864,31967,37258,40960,37269,38951,40999,45843,44183,30481,24075,16341,8543
2020,03,岩手県,女,18783,21540,23708,26286,25195,26954,26856,30823,35973,39766,37989,39853,42855,48912,49518,40972,38699,32704,25457
2025,03,岩手県,男,17813,19541,22402,23864,24226,26586,28224,27601,31499,36562,40012,36111,37315,38749,42015,38569,23855,15818,10827
2025,03,岩手県,女,16897,18617,21388,22816,23824,25282,26728,26522,30502,35509,39238,37471,39194,41896,47158,46715,36554,30956,30969
2030,03,岩手県,男,16549,17589,19364,21424,21476,24639,26474,27938,27222,30938,35735,38815,34690,35399,35674,36778,30736,16016,11758
2030,03,岩手県,女,15702,16759,18491,20608,20742,23903,25065,26392,26266,30123,35049,38734,36913,38384,40477,44510,42067,29664,33276
2035,03,岩手県,男,15469,16347,17428,18544,19308,21883,24534,26202,27553,26765,30268,34700,37345,33025,32737,31459,29447,21220,12551
2035,03,岩手県,女,14680,15570,16648,17840,18754,20837,23704,24753,26137,25955,29746,34610,38197,36203,37156,38317,40116,34764,34557
2040,03,岩手県,男,14331,15290,16201,16707,16737,19689,21794,24294,25836,27097,26216,29432,33421,35625,30668,29061,25515,20462,15938
2040,03,岩手県,女,13597,14564,15474,16073,16248,18840,20679,23411,24512,25823,25638,29387,34141,37503,35107,35268,34743,33249,39533
1980,04,宮城県,男,82342,87023,77284,79673,79213,86390,92512,74249,70171,71041,65493,47970,35589,29866,22739,13865,6534,2300,589
1980,04,宮城県,女,77795,82803,73305,73416,76437,86170,89331,73003,72851,74635,69173,57427,44753,38667,28928,19930,11086,4746,1439
1985,04,宮城県,男,75465,83395,87623,82129,78421,74427,87835,92844,73469,68776,68668,63292,45737,32794,25855,17530,8760,3104,846
1985,04,宮城県,女,72164,78783,83469,75107,73569,74971,86668,89872,72702,72139,73666,68257,56271,42966,35836,24739,14670,6275,2082
1990,04,宮城県,男,64808,76364,84208,93697,80003,70037,74930,87945,92626,72554,66795,66554,60767,42311,28932,20568,11669,4370,1205
1990,04,宮城県,女,61164,73321,79448,86893,75548,71143,75249,87258,90138,71951,71180,72945,67236,54457,40365,31512,19265,8915,3190
1995,04,宮城県,男,57682,66496,77656,92387,96211,75344,73317,77235,89942,94003,72472,65999,64492,56973,37855,23503,14234,6267,1812
1995,04,宮城県,女,55261,62806,74430,84956,89893,74508,73111,76903,88729,90455,72028,71259,72290,65556,51992,36136,25457,12820,4915
2000,04,宮城県,男,55969,58440,66964,82984,90616,88171,75700,73769,77955,89501,92236,70479,64065,60647,51009,31534,16852,8235,2950
2000,04,宮城県,女,52901,55977,63265,78551,85135,86284,74918,73642,77506,88515,89650,71525,70624,70639,62800,47786,30382,17989,8333
2005,04,宮城県,男,52196,55853,58261,70782,77626,79001,84809,74012,72326,75636,86660,88893,67961,60682,54938,43223,23547,10075,4313
2005,04,宮城県,女,49901,52869,55729,65993,74865,77696,83063,73245,72607,76275,87046,88677,70586,69024,67715,58458,41473,23058,13138
